Given Name,Amount,Position
"EMILY","201","1"
"CHLOE","163","2"
"JESSICA","159","3"
"SARAH","147","4"
"EMMA","120","5"
"GEORGIA","112","6"
"TAYLA","107","7"
"CHELSEA","95","=8"
"COURTNEY","95","=8"
"CAITLIN","89","10"
"BROOKE","88","11"
"HANNAH","86","=12"
"OLIVIA","86","=12"
"SOPHIE","83","14"
"LAUREN","79","15"
"REBECCA","76","16"
"AMY","75","17"
"RACHEL","70","18"
"JASMINE","65","19"
"ASHLEIGH","64","20"
"ISABELLA","63","=21"
"KATE","63","=21"
"STEPHANIE","59","23"
"SAMANTHA","56","24"
"JADE","55","=25"
"LUCY","55","=25"
"VICTORIA","55","=25"
"ALEXANDRA","54","28"
"AMBER","53","=29"
"NATASHA","53","=29"
"HAYLEY","52","=31"
"LAURA","52","=31"
"GRACE","51","33"
"NICOLE","50","34"
"MADELINE","49","35"
"MADDISON","47","=36"
"ZOE","47","=36"
"KAYLA","46","=38"
"TAHLIA","46","=38"
"CHARLOTTE","44","40"
"SHANNON","43","41"
"MADELEINE","42","42"
"AMELIA","41","=43"
"MADISON","41","=43"
"BRIANNA","40","45"
"CLAUDIA","39","46"
"BIANCA","38","=47"
"BRITTANY","38","=47"
"PAIGE","38","=47"
"MEGAN","37","50"
"CLAIRE","35","=51"
"DANIELLE","35","=51"
"RUBY","35","=51"
"EBONY","34","=54"
"ERIN","34","=54"
"GEORGINA","34","=54"
"RACHAEL","34","=54"
"BETHANY","32","=58"
"KAITLYN","32","=58"
"GABRIELLE","31","=60"
"JORDAN","31","=60"
"TAYLOR","31","=60"
"ELIZA","30","63"
"ABBEY","29","=64"
"NATALIE","29","=64"
"RENEE","29","=64"
"ALICE","28","=67"
"ALICIA","28","=67"
"HOLLY","28","=67"
"KELSEY","28","=67"
"MIKAYLA","28","=67"
"VANESSA","28","=67"
"ELLA","27","=73"
"SHANIA","27","=73"
"MONIQUE","26","75"
"ASHLEE","25","76"
"ANNA","24","=77"
"CASEY","24","=77"
"KATHERINE","24","=77"
"LILY","24","=77"
"MELISSA","24","=77"
"MOLLY","24","=77"
"PHOEBE","24","=77"
"CRYSTAL","23","=84"
"ELIZABETH","23","=84"
"GEMMA","23","=84"
"KATELYN","23","=84"
"ABBY","22","=88"
"ALANA","22","=88"
"JAMIE","22","=88"
"JASMIN","22","=88"
"MIA","22","=88"
"MICHAELA","22","=88"
"NICOLA","22","=88"
"SKYE","22","=88"
"TAYLAH","22","=88"
"DANA","21","=97"
"ISABELLE","21","=97"
"AMANDA","20","=99"
"CAITLYN","20","=99"
"NIKKI","20","=99"
"KELLY","19","=102"
"TAMIKA","19","=102"
"TIANA","19","=102"
"ALISHA","18","=105"
"ASHLEY","18","=105"
"CARLY","18","=105"
"CASSANDRA","18","=105"
"MIKAELA","18","=105"
"ALYSSA","17","=110"
"ANASTASIA","17","=110"
"IMOGEN","17","=110"
"MORGAN","17","=110"
"TIFFANY","17","=110"
"BONNIE","16","=115"
"CHANTELLE","16","=115"
"KAITLIN","16","=115"
"MATILDA","16","=115"
"JACINTA","15","=119"
"JULIA","15","=119"
"LISA","15","=119"
"MARIAH","15","=119"
"REBEKAH","15","=119"
"TIA","15","=119"
"AIMEE","14","=125"
"BREANNA","14","=125"
"CATHERINE","14","=125"
"CHRISTINA","14","=125"
"ELLEN","14","=125"
"EVELYN","14","=125"
"ISOBEL","14","=125"
"KIARA","14","=125"
"TEGAN","14","=125"
"ADELE","13","=134"
"CHEYENNE","13","=134"
"ISABEL","13","=134"
"JAYDE","13","=134"
"JEMMA","13","=134"
"KIMBERLY","13","=134"
"MEG","13","=134"
"MICHELLE","13","=134"
"PARIS","13","=134"
"SARA","13","=134"
"ABIGAIL","12","=144"
"ANNABEL","12","=144"
"BRIDGET","12","=144"
"KATIE","12","=144"
"KIMBERLEY","12","=144"
"LARA","12","=144"
"LILLIAN","12","=144"
"ANGELA","11","=151"
"ELOISE","11","=151"
"KATRINA","11","=151"
"KIRSTEN","11","=151"
"KRYSTAL","11","=151"
"MARIA","11","=151"
"MELANIE","11","=151"
"MONICA","11","=151"
"NAOMI","11","=151"
"ROSE","11","=151"
"STACEY","11","=151"
"TARA","11","=151"
"TESSA","11","=151"
"ALANNAH","10","=164"
"APRIL","10","=164"
"CASSIDY","10","=164"
"DAYNA","10","=164"
"DEANNA","10","=164"
