Given Name,Amount,Position
"OLIVER","184","1"
"JACK","132","2"
"WILLIAM","128","3"
"LUCAS","124","4"
"NOAH","112","5"
"JAMES","107","6"
"LACHLAN","93","7"
"HARRISON","89","8"
"CHARLIE","87","=9"
"LIAM","87","=9"
"MAX","87","=9"
"ETHAN","85","=12"
"THOMAS","85","=12"
"HENRY","82","=14"
"MASON","82","=14"
"JACOB","81","16"
"ALEXANDER","80","17"
"OSCAR","77","18"
"SAMUEL","76","19"
"RILEY","74","=20"
"SEBASTIAN","74","=20"
"HUNTER","72","=22"
"ISAAC","72","=22"
"HUDSON","70","24"
"TYLER","67","=25"
"XAVIER","67","=25"
"LEO","65","27"
"ARCHIE","64","=28"
"JACKSON","64","=28"
"HARRY","61","30"
"BLAKE","59","=31"
"LEVI","59","=31"
"DANIEL","58","=33"
"LOGAN","58","=33"
"BENJAMIN","57","=35"
"PATRICK","57","=35"
"AUSTIN","56","=37"
"JAXON","56","=37"
"JOSHUA","56","=37"
"ARCHER","55","=40"
"ELIJAH","55","=40"
"LINCOLN","55","=40"
"EDWARD","54","43"
"COOPER","53","44"
"JORDAN","49","=45"
"RYAN","49","=45"
"ASHTON","48","47"
"CHASE","45","=48"
"NATE","45","=48"
"GEORGE","44","=50"
"HUGO","44","=50"
"KAI","42","52"
"ANGUS","41","=53"
"CONNOR","41","=53"
"OWEN","41","=53"
"ELI","40","56"
"AIDEN","39","57"
"FLYNN","38","58"
"JAYDEN","37","=59"
"MICHAEL","37","=59"
"MITCHELL","37","=59"
"HAMISH","36","=62"
"NICHOLAS","36","=62"
"BRODIE","35","=64"
"FINN","35","=64"
"BRAXTON","34","=66"
"LEWIS","34","=66"
"RYDER","34","=66"
"JOSEPH","33","69"
"MATTHEW","32","70"
"LUKE","31","71"
"DYLAN","29","=72"
"HARLEY","29","=72"
"HAYDEN","29","=72"
"HARVEY","28","=75"
"JOEL","28","=75"
"LUCA","28","=75"
"TOBY","28","=75"
"ZACHARY","27","79"
"LOUIS","26","=80"
